🕘️更新时间,#genre#
2025-09-28 16:04:39,http://183.222.242.31:8088/hls/1/index.m3u8

📺央视频道,#genre#
CCTV-1,http://183.222.242.31:8088/hls/1/index.m3u8
CCTV-2,http://1.180.2.93:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-2,http://php.cqshushu.ggff.net/jzb.php?id=cctv2&公众号【医工学习日志】
CCTV-2,http://60.16.0.216:5757/hls/2/index.m3u8
CCTV-2,http://183.222.242.31:8088/hls/2/index.m3u8
CCTV-3,http://php.cqshushu.ggff.net/jzb.php?id=cctv3&公众号【医工学习日志】
CCTV-3,http://1.180.2.93:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV-3,http://112.132.10.54:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://60.16.0.216:5757/hls/3/index.m3u8
CCTV-3,http://171.117.13.205:9999/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://183.222.242.31:8088/hls/3/index.m3u8
CCTV-3,http://ha.wheel.duolebo.com/live.m3u8?p=bea7cd5b-d4cd-4d5f-9408-eb6df9ce08f3&c=1857461344&m3u8=true
CCTV-4,http://ygbh.site/php/bfgd.php?id=063
CCTV-4,http://1.180.2.93:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV-4,http://60.16.0.216:5757/hls/4/index.m3u8
CCTV-4,http://183.222.242.31:8088/hls/4/index.m3u8
CCTV-4,http://171.117.13.205:9999/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://php.cqshushu.ggff.net/jzb.php?id=cctv5&公众号【医工学习日志】
CCTV-5,http://1.180.2.93:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV-5,http://60.16.0.216:5757/hls/5/index.m3u8
CCTV-5,http://112.132.10.54:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://183.222.242.31:8088/hls/5/index.m3u8
CCTV-5+,http://ygbh.site/php/bfgd.php?id=246
CCTV-6,http://ygbh.site/php/bfgd.php?id=065
CCTV-6,http://php.cqshushu.ggff.net/jzb.php?id=cctv6&公众号【医工学习日志】
CCTV-6,http://1.180.2.93:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV-6,http://112.132.10.54:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://60.16.0.216:5757/hls/7/index.m3u8
CCTV-6,http://8.138.7.223/tv/1905.php?id=LIVE3YPYZ30E7V1R0
CCTV-6,http://183.222.242.31:8088/hls/6/index.m3u8
CCTV-7,http://ygbh.site/php/bfgd.php?id=127
CCTV-7,http://php.cqshushu.ggff.net/jzb.php?id=cctv7&公众号【医工学习日志】
CCTV-7,http://60.16.0.216:5757/hls/8/index.m3u8
CCTV-7,http://183.222.242.31:8088/hls/7/index.m3u8
CCTV-8,http://php.cqshushu.ggff.net/jzb.php?id=cctv8&公众号【医工学习日志】
CCTV-8,http://112.132.10.54:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://60.16.0.216:5757/hls/9/index.m3u8
CCTV-8,http://183.222.242.31:8088/hls/8/index.m3u8
CCTV-9,http://ygbh.site/php/bfgd.php?id=128
CCTV-9,http://php.cqshushu.ggff.net/jzb.php?id=cctv9&公众号【医工学习日志】
CCTV-9,http://1.180.2.93:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV-9,http://60.16.0.216:5757/hls/10/index.m3u8
CCTV-9,http://112.132.10.54:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-9,http://183.222.242.31:8088/hls/9/index.m3u8
CCTV-10,http://ygbh.site/php/bfgd.php?id=129
CCTV-10,http://112.132.10.54:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-10,http://183.222.242.31:8088/hls/10/index.m3u8
CCTV-10,http://171.117.13.205:9999/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://113.15.109.216:59901/tsfile/live/0010_1.m3u8
CCTV-11,http://ygbh.site/php/bfgd.php?id=130
CCTV-11,http://php.cqshushu.ggff.net/jzb.php?id=cctv11&公众号【医工学习日志】
CCTV-11,http://60.16.0.216:5757/hls/12/index.m3u8
CCTV-11,http://110.177.144.22:9003/hls/12/index.m3u8
CCTV-11,http://183.222.242.31:8088/hls/11/index.m3u8
CCTV-12,http://ygbh.site/php/bfgd.php?id=131
CCTV-12,http://61.184.46.85:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://111.227.196.164:9901/tsfile/live/faacts/0012_1.m3u8
CCTV-12,http://60.16.0.216:5757/hls/13/index.m3u8
CCTV-12,http://183.222.242.31:8088/hls/12/index.m3u8
CCTV-13,http://1.180.2.93:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV-13,http://60.16.0.216:5757/hls/14/index.m3u8
CCTV-13,http://183.222.242.31:8088/hls/13/index.m3u8
CCTV-14,http://ygbh.site/php/bfgd.php?id=132
CCTV-14,http://111.227.196.164:9901/tsfile/live/faacts/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://112.132.10.54:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-14,http://113.26.202.52:1299/tsfile/live/0014_1.m3u8
CCTV-14,http://183.222.242.31:8088/hls/14/index.m3u8
CCTV-15,http://ygbh.site/php/bfgd.php?id=133
CCTV-15,http://60.16.0.216:5757/hls/16/index.m3u8
CCTV-15,http://111.227.196.164:9901/tsfile/live/0015_1.m3u8
CCTV-15,http://183.222.242.31:8088/hls/15/index.m3u8
CCTV-15,http://110.177.144.22:9003/hls/16/index.m3u8
CCTV-16,http://60.16.0.216:5757/hls/17/index.m3u8
CCTV-17,http://60.16.0.216:5757/hls/18/index.m3u8
CCTV-17,http://zqh2333.top:2222/rtp/239.93.24.92:5140
CCTV-17,http://218.13.170.98:9901/tsfile/live/0016_1.m3u8
CETV-1,http://180.154.61.39:4022/rtp/239.45.1.125:5140
CETV-1,http://223.167.230.34:4022/rtp/239.45.1.125:5140
CETV-1,http://117.174.25.254:8188/rtp/239.0.0.51:5140
CETV-1,http://223.167.245.215:8001/rtp/239.45.1.125:5140
CETV-4,http://221.10.226.195:5000/rtp/239.0.0.98:5140
CETV-4,http://117.174.25.254:8188/rtp/239.0.0.98:5140

💰央视付费频道,#genre#
第一剧场,http://61.184.46.85:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://iptv.4666888.xyz/iptv2A.php?id=13
怀旧剧场,http://61.184.46.85:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
世界地理,http://ygbh.site/php/bfgd.php?id=177

📡卫视频道,#genre#
广东卫视,http://60.16.0.216:5757/hls/20/index.m3u8
广东卫视,http://183.222.242.31:8088/hls/23/index.m3u8
浙江卫视,http://112.132.10.54:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://183.222.242.31:8088/hls/20/index.m3u8
湖南卫视,http://218.17.33.178:53290/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://113.26.202.52:1299/tsfile/live/0128_1.m3u8
湖南卫视,http://183.222.242.31:8088/hls/18/index.m3u8
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视,http://60.16.0.216:5757/hls/25/index.m3u8
北京卫视,http://183.222.242.31:8088/hls/22/index.m3u8
北京卫视,http://222.169.85.8:9901/tsfile/live/0017_1.m3u8?key=txiptv
北京卫视,http://113.26.202.52:1299/tsfile/live/0122_1.m3u8
湖北卫视,http://218.17.33.178:53290/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://60.16.0.216:5757/hls/33/index.m3u8
湖北卫视,http://183.222.242.31:8088/hls/28/index.m3u8
湖北卫视,http://113.26.202.52:1299/tsfile/live/0132_1.m3u8
黑龙江卫视,http://60.16.0.216:5757/hls/35/index.m3u8
黑龙江卫视,http://113.26.202.52:1299/tsfile/live/0143_1.m3u8
黑龙江卫视,http://183.222.242.31:8088/hls/26/index.m3u8
安徽卫视,http://60.16.0.216:5757/hls/31/index.m3u8
安徽卫视,http://113.26.202.52:1299/tsfile/live/0130_1.m3u8
安徽卫视,http://183.222.242.31:8088/hls/32/index.m3u8
重庆卫视,http://60.16.0.216:5757/hls/36/index.m3u8
重庆卫视,http://183.222.242.31:8088/hls/27/index.m3u8
东方卫视,http://60.16.0.216:5757/hls/23/index.m3u8
东方卫视,http://112.27.235.94:8000/hls/28/index.m3u8
东方卫视,http://183.222.242.31:8088/hls/21/index.m3u8
东南卫视,http://153.0.171.163:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://183.222.242.31:8088/hls/30/index.m3u8
甘肃卫视,http://110.177.144.22:9003/hls/25/index.m3u8
广西卫视,http://60.16.0.216:5757/hls/45/index.m3u8
广西卫视,http://60.174.40.117:85/tsfile/live/0113_1.m3u8?key=txiptv
广西卫视,http://222.169.85.8:9901/tsfile/live/0113_1.m3u8?key=txiptv
广西卫视,http://110.177.144.22:9003/hls/27/index.m3u8
贵州卫视,http://60.16.0.216:5757/hls/37/index.m3u8
贵州卫视,http://183.222.242.31:8088/hls/31/index.m3u8
海南卫视,http://110.177.144.22:9003/hls/28/index.m3u8
河北卫视,http://60.16.0.216:5757/hls/38/index.m3u8
河北卫视,http://183.222.242.31:8088/hls/33/index.m3u8
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://lxajh.top/tv/hn.php?id=hnws
河南卫视,http://223.167.245.215:8001/rtp/239.45.0.3:5140
河南卫视,http://183.222.242.31:8088/hls/35/index.m3u8
吉林卫视,http://60.16.0.216:5757/hls/44/index.m3u8
吉林卫视,http://112.132.10.54:9901/tsfile/live/0116_2.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://60.16.0.216:5757/hls/24/index.m3u8
江苏卫视,http://113.26.202.52:1299/tsfile/live/0127_1.m3u8
江苏卫视,http://183.222.242.31:8088/hls/19/index.m3u8
江西卫视,http://203.205.191.53/yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv1.m3u8
江西卫视,http://218.17.33.178:53290/tsfile/live/0138_1.m3u8?key=txiptv
江西卫视,http://60.16.0.216:5757/hls/26/index.m3u8
江西卫视,http://112.132.10.54:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://183.222.242.31:8088/hls/29/index.m3u8
辽宁卫视,http://60.16.0.216:5757/hls/32/index.m3u8
辽宁卫视,http://60.174.40.117:85/tsfile/live/1033_1.m3u8?key=txiptv
辽宁卫视,http://113.26.202.52:1299/tsfile/live/0121_1.m3u8
辽宁卫视,http://171.117.13.205:9999/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://183.222.242.31:8088/hls/34/index.m3u8
内蒙古卫视,http://60.16.0.216:5757/hls/41/index.m3u8
宁夏卫视,http://112.132.10.54:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://60.16.0.216:5757/hls/43/index.m3u8
青海卫视,http://zqh2333.top:2222/rtp/239.93.24.192:5140
青海卫视,http://110.177.144.22:9003/hls/40/index.m3u8
山东卫视,http://60.16.0.216:5757/hls/27/index.m3u8
山东卫视,http://183.222.242.31:8088/hls/25/index.m3u8
山东卫视,http://113.26.202.52:1299/tsfile/live/0131_1.m3u8
